,time,seconds_elapsed,altitude,longitude,latitude,address
0,2022-05-08 02:02:26.928000000,22.415,28.299999237060547,126.7210528,37.3627446,서울대학교 시흥스마트캠퍼스
50,2022-05-08 02:13:19.110000000,674.5970002441406,29.399999618530277,126.7210998,37.3626353,서울대학교 시흥스마트캠퍼스
100,2022-05-08 02:29:12.356000000,1627.843,28.299999237060547,126.7210075,37.3626803,서울대학교 시흥스마트캠퍼스
150,2022-05-08 02:41:41.865000000,2377.352,28.299999237060547,126.7210723,37.3626567,서울대학교 시흥스마트캠퍼스
200,2022-05-08 02:51:59.540000000,2995.027,28.880091493573147,126.7210186,37.3626745,서울대학교 시흥스마트캠퍼스
250,2022-05-08 03:02:18.574000000,3614.061000244141,28.299999237060547,126.7210999,37.3626419,서울대학교 시흥스마트캠퍼스
300,2022-05-08 03:15:56.651000000,4432.138,28.299999237060547,126.7209839,37.3627047,서울대학교 시흥스마트캠퍼스
350,2022-05-08 03:33:38.099000000,5493.586,28.299999237060547,126.7211017,37.3626423,서울대학교 시흥스마트캠퍼스
400,2022-05-08 03:51:17.299000000,6552.786,38.10000228881836,126.7210996,37.3626422,서울대학교 시흥스마트캠퍼스
450,2022-05-08 04:08:35.465000000,7590.952,28.092500398231408,126.7210955,37.3626446,서울대학교 시흥스마트캠퍼스
500,2022-05-08 04:26:55.059000000,8690.546,29.399999618530277,126.7210983,37.3626427,서울대학교 시흥스마트캠퍼스
550,2022-05-08 04:44:08.672000000,9724.159,28.299999237060547,126.7210903,37.3626417,서울대학교 시흥스마트캠퍼스
600,2022-05-08 05:01:26.452000000,10761.939,28.299999237060547,126.7210083,37.3626706,서울대학교 시흥스마트캠퍼스
650,2022-05-08 05:18:43.663000000,11799.15,27.90691823619948,126.7210901,37.3626488,서울대학교 시흥스마트캠퍼스
700,2022-05-08 05:36:12.324000000,12847.811,36.60000228881836,126.7210487,37.3626653,서울대학교 시흥스마트캠퍼스
750,2022-05-08 05:53:41.102000000,13896.58900024414,28.299999237060547,126.7210612,37.3626625,서울대학교 시흥스마트캠퍼스
800,2022-05-08 06:11:20.400000000,14955.887,37.458664511318695,126.7210656,37.3626565,서울대학교 시흥스마트캠퍼스
850,2022-05-08 06:28:59.596000000,16015.083,28.299999237060547,126.7210932,37.3626496,서울대학교 시흥스마트캠퍼스
900,2022-05-08 06:46:38.931000000,17074.418,36.60000228881836,126.721052,37.3626653,서울대학교 시흥스마트캠퍼스
950,2022-05-08 07:04:07.369000000,18122.856,38.10000228881836,126.7210366,37.3626734,서울대학교 시흥스마트캠퍼스
1000,2022-05-08 07:21:26.732000000,19162.219,36.60000228881836,126.7210133,37.3626787,서울대학교 시흥스마트캠퍼스
1050,2022-05-08 07:39:06.186000000,20221.672999755858,0.0,126.7210605,37.3626975,서울대학교 시흥스마트캠퍼스
